epoch,train_loss,val_loss,train_acc,val_acc,val_f1
1,1.4313,1.259,0.5114,0.6202,0.6173
2,1.1208,1.2207,0.6764,0.6477,0.6453
3,1.0116,1.2046,0.7309,0.6743,0.6719
4,0.9442,1.2178,0.7653,0.6724,0.6684
5,0.9015,1.2018,0.7874,0.6815,0.6764
6,0.8654,1.1815,0.8049,0.6934,0.6907
7,0.8383,1.2056,0.8159,0.6864,0.6822
8,0.8099,1.2188,0.8316,0.6909,0.6871
