class,precision,recall,f1,support
angry,0.651,0.7716,0.7062,162
disgust,0.4439,0.5938,0.508,160
fear,0.4274,0.6757,0.5236,74
happy,0.9729,0.7873,0.8703,1185
neutral,0.7015,0.7397,0.7201,680
sad,0.7302,0.7699,0.7495,478
surprise,0.7233,0.8024,0.7608,329
macro avg,0.6643,0.7343,0.6912,3068
weighted avg,0.7904,0.7621,0.7705,3068
