epoch,train_loss,val_loss,train_acc,val_acc,val_f1
1,1.7904,1.7538,0.2925,0.3613,0.3156
2,1.6018,1.6712,0.4054,0.3796,0.3343
3,1.4901,1.6322,0.4747,0.4228,0.4123
4,1.3946,1.4122,0.5314,0.5386,0.5329
5,1.3093,1.5241,0.5802,0.5016,0.4636
6,1.2371,1.4351,0.6197,0.5393,0.5235
7,1.1796,1.2071,0.6494,0.6622,0.6612
8,1.1356,1.3461,0.6731,0.5945,0.5923
