epoch,train_loss,val_loss,train_acc,val_acc,val_f1
1,3.6515,1.6114,0.2317,0.3494,0.2951
2,2.9733,1.5436,0.2625,0.2053,0.2183
3,2.5658,1.5247,0.2455,0.1591,0.1833
4,2.4013,1.4722,0.245,0.1473,0.1765
5,2.2896,1.4075,0.2346,0.1636,0.1961
6,2.2822,1.4068,0.2393,0.1718,0.2046
7,2.1622,1.3437,0.2667,0.1881,0.2267
8,2.1636,1.306,0.2588,0.206,0.2433
9,2.1184,1.2955,0.2746,0.2115,0.2457
